      gene      | go_accession |                                                                                           go_term                                                                                           
 Smp_042560.1   | GO:0005739   | mitochondrion
 Smp_042560.1   | GO:0016021   | integral component of membrane
 Smp_145200.1   | GO:0043565   | sequence-specific DNA binding
 Smp_145200.1   | GO:0003700   | transcription factor activity, sequence-specific DNA binding
 Smp_145200.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_145200.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_145200.1   | GO:0005634   | nucleus
 Smp_088250.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_088250.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_088250.1   | GO:0005634   | nucleus
 Smp_088260.1   | GO:0005634   | nucleus
 Smp_088260.1   | GO:0005737   | cytoplasm
 Smp_174570.1   | GO:0016787   | hydrolase activity
 Smp_095590.1   | GO:0003735   | structural constituent of ribosome
 Smp_095590.1   | GO:0006412   | translation
 Smp_095590.1   | GO:0005622   | intracellular
 Smp_095590.1   | GO:0005840   | ribosome
 Smp_071640.1   | GO:0000166   | nucleotide binding
 Smp_071640.1   | GO:0003723   | RNA binding
 Smp_071640.1   | GO:0005634   | nucleus
 Smp_071640.1   | GO:0005737   | cytoplasm
 Smp_161150.1   | GO:0005634   | nucleus
 Smp_161150.1   | GO:0005737   | cytoplasm
 Smp_014080.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_014080.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_075280.1   | GO:0006810   | transport
 Smp_075280.1   | GO:0016021   | integral component of membrane
 Smp_075280.1   | GO:0016020   | membrane
 Smp_075290.1   | GO:0046872   | metal ion binding
 Smp_155950.1   | GO:0008270   | zinc ion binding
 Smp_155950.1   | GO:0005524   | ATP binding
 Smp_155950.1   | GO:0006468   | protein phosphorylation
 Smp_062720.2   | GO:0000166   | nucleotide binding
 Smp_155970.1   | GO:0005244   | voltage-gated ion channel activity
 Smp_155970.1   | GO:0006813   | potassium ion transport
 Smp_155970.1   | GO:0016021   | integral component of membrane
 Smp_155970.1   | GO:0016020   | membrane
 Smp_155990.1   | GO:0005622   | intracellular
 Smp_155990.1   | GO:0005737   | cytoplasm
 Smp_032470.1   | GO:0005737   | cytoplasm
 Smp_188560.1   | GO:0005737   | cytoplasm
 Smp_032280.1   | GO:0003677   | DNA binding
 Smp_032280.1   | GO:0003723   | RNA binding
 Smp_032280.1   | GO:0005634   | nucleus
 Smp_032280.1   | GO:0030529   | ribonucleoprotein complex
 Smp_032280.1   | GO:0005737   | cytoplasm
 Smp_039870.1   | GO:0016020   | membrane
 Smp_039820.1   | GO:0008233   | peptidase activity
 Smp_039820.1   | GO:0008234   | cysteine-type peptidase activity
 Smp_039820.1   | GO:0015031   | protein transport
 Smp_039820.1   | GO:0006512   | obsolete ubiquitin cycle (obsolete GO:0006512)
 Smp_039820.1   | GO:0005737   | cytoplasm
 Smp_143800.1   | GO:0016020   | membrane
 Smp_179550.1   | GO:0005737   | cytoplasm
 Smp_076150.2   | GO:0005634   | nucleus
 Smp_136470.1   | GO:0046872   | metal ion binding
 Smp_136470.1   | GO:0005622   | intracellular
 Smp_136470.1   | GO:0005737   | cytoplasm
 Smp_026510.1   | GO:0005737   | cytoplasm
 Smp_026510.1   | GO:0005524   | ATP binding
 Smp_026510.1   | GO:0006468   | protein phosphorylation
 Smp_026510.1   | GO:0005515   | protein binding
 Smp_026510.1   | GO:0004674   | protein serine/threonine kinase activity
 Smp_026510.1   | GO:0004713   | protein tyrosine kinase activity
 Smp_026440.1   | GO:0005524   | ATP binding
 Smp_162990.1   | GO:0003723   | RNA binding
 Smp_192920.1   | GO:0005509   | calcium ion binding
 Smp_192920.1   | GO:0016787   | hydrolase activity
 Smp_160340.1   | GO:0016021   | integral component of membrane
 Smp_160340.1   | GO:0016020   | membrane
 Smp_131580.1   | GO:0008270   | zinc ion binding
 Smp_131580.1   | GO:0004559   | alpha-mannosidase activity
 Smp_131580.1   | GO:0006013   | mannose metabolic process
 Smp_017080.4   | GO:0016020   | membrane
 Smp_017080.4   | GO:0005634   | nucleus
 Smp_131470.1   | GO:0016021   | integral component of membrane
 Smp_131470.1   | GO:0016020   | membrane
 Smp_068500.1   | GO:0005737   | cytoplasm
 Smp_131450.1   | GO:0003735   | structural constituent of ribosome
 Smp_131450.1   | GO:0006412   | translation
 Smp_131450.1   | GO:0005622   | intracellular
 Smp_131450.1   | GO:0005840   | ribosome
 Smp_163870.1   | GO:0008270   | zinc ion binding
 Smp_163870.1   | GO:0003700   | transcription factor activity, sequence-specific DNA binding
 Smp_163870.1   | GO:0007548   | sex differentiation
 Smp_163870.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_163870.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_163870.1   | GO:0030154   | cell differentiation
 Smp_163870.1   | GO:0005634   | nucleus
 Smp_141420.1   | GO:0005737   | cytoplasm
 Smp_163750.1   | GO:0005509   | calcium ion binding
 Smp_163750.1   | GO:0005215   | transporter activity
 Smp_163750.1   | GO:0006810   | transport
 Smp_163750.1   | GO:0016021   | integral component of membrane
 Smp_163750.1   | GO:0016020   | membrane
 Smp_163750.1   | GO:0008021   | synaptic vesicle
 Smp_163750.1   | GO:0045202   | synapse
 Smp_163740.1   | GO:0005509   | calcium ion binding
 Smp_163740.1   | GO:0005737   | cytoplasm
 Smp_163700.1   | GO:0016021   | integral component of membrane
 Smp_163700.1   | GO:0005886   | plasma membrane
 Smp_158430.1   | GO:0003723   | RNA binding
 Smp_158430.1   | GO:0005576   | extracellular region
 Smp_085010.1   | GO:0008233   | peptidase activity
 Smp_085010.1   | GO:0004197   | cysteine-type endopeptidase activity
 Smp_085010.1   | GO:0006508   | proteolysis
 Smp_153660.1   | GO:0005634   | nucleus
 Smp_130910.1   | GO:0016021   | integral component of membrane
 Smp_130910.1   | GO:0016020   | membrane
 Smp_194040.1   | GO:0016021   | integral component of membrane
 Smp_194040.1   | GO:0016020   | membrane
 Smp_083240.1   | GO:0016787   | hydrolase activity
 Smp_083240.1   | GO:0005576   | extracellular region
 Smp_167330.1   | GO:0005524   | ATP binding
 Smp_083380.1   | GO:0005737   | cytoplasm
 Smp_097620.1   | GO:0015031   | protein transport
 Smp_097620.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_097620.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_097620.1   | GO:0005634   | nucleus
 Smp_097620.1   | GO:0005737   | cytoplasm
 Smp_089640.3   | GO:0009055   | electron carrier activity
 Smp_089640.3   | GO:0005506   | iron ion binding
 Smp_089640.3   | GO:0006810   | transport
 Smp_089640.3   | GO:0005739   | mitochondrion
 Smp_092150.1   | GO:0016020   | membrane
 Smp_152180.1   | GO:0005634   | nucleus
 Smp_097790.2   | GO:0005634   | nucleus
 Smp_097790.2   | GO:0005737   | cytoplasm
 Smp_163500.1   | GO:0007165   | signal transduction
 Smp_163500.1   | GO:0005737   | cytoplasm
 Smp_056200.1   | GO:0005737   | cytoplasm
 Smp_152270.1   | GO:0005739   | mitochondrion
 Smp_152270.1   | GO:0016021   | integral component of membrane
 Smp_152270.1   | GO:0016020   | membrane
 Smp_056260.1   | GO:0016021   | integral component of membrane
 Smp_056260.1   | GO:0016020   | membrane
 Smp_152290.1   | GO:0007601   | visual perception
 Smp_152290.1   | GO:0007165   | signal transduction
 Smp_152290.1   | GO:0005737   | cytoplasm
 Smp_077020.1   | GO:0003723   | RNA binding
 Smp_077020.1   | GO:0046677   | response to antibiotic
 Smp_124560.1   | GO:0005737   | cytoplasm
 Smp_004440.1   | GO:0005737   | cytoplasm
 Smp_124490.1   | GO:0005634   | nucleus
 Smp_124490.1   | GO:0005737   | cytoplasm
 Smp_083530.1   | GO:0008233   | peptidase activity
 Smp_083530.1   | GO:0005509   | calcium ion binding
 Smp_083530.1   | GO:0005622   | intracellular
 Smp_083530.1   | GO:0005737   | cytoplasm
 Smp_167550.1   | GO:0015031   | protein transport
 Smp_167550.1   | GO:0005737   | cytoplasm
 Smp_045410.1   | GO:0016021   | integral component of membrane
 Smp_045410.1   | GO:0016020   | membrane
 Smp_150690.2   | GO:0008233   | peptidase activity
 Smp_150690.2   | GO:0004239   | obsolete methionyl aminopeptidase activity (obsolete GO:0004239)
 Smp_150690.2   | GO:0006508   | proteolysis
 Smp_053120.1   | GO:0005737   | cytoplasm
 Smp_086960.1   | GO:0016979   | lipoate-protein ligase activity
 Smp_086960.1   | GO:0005524   | ATP binding
 Smp_086960.1   | GO:0005737   | cytoplasm
 Smp_062980.1   | GO:0016021   | integral component of membrane
 Smp_062980.1   | GO:0016020   | membrane
 Smp_125060.1   | GO:0005524   | ATP binding
 Smp_125060.1   | GO:0006468   | protein phosphorylation
 Smp_125060.1   | GO:0016021   | integral component of membrane
 Smp_125060.1   | GO:0016020   | membrane
 Smp_114620.1   | GO:0007017   | microtubule-based process
 Smp_114620.1   | GO:0030286   | dynein complex
 Smp_114620.1   | GO:0005737   | cytoplasm
 Smp_051640.1   | GO:0005634   | nucleus
 Smp_051640.1   | GO:0003723   | RNA binding
 Smp_212570.1   | GO:0003987   | acetate-CoA ligase activity
 Smp_212570.1   | GO:0008152   | metabolic process
 Smp_149570.1   | GO:0005634   | nucleus
 Smp_149570.1   | GO:0043565   | sequence-specific DNA binding
 Smp_149570.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_149570.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_149570.1   | GO:0003700   | transcription factor activity, sequence-specific DNA binding
 Smp_051280.1   | GO:0005634   | nucleus
 Smp_051280.1   | GO:0005737   | cytoplasm
 Smp_175050.1   | GO:0016021   | integral component of membrane
 Smp_175050.1   | GO:0016020   | membrane
 Smp_175050.1   | GO:0005576   | extracellular region
 Smp_154990.1   | GO:0016021   | integral component of membrane
 Smp_154990.1   | GO:0016020   | membrane
 Smp_154990.1   | GO:0005515   | protein binding
 Smp_041970.1   | GO:0016021   | integral component of membrane
 Smp_041970.1   | GO:0016020   | membrane
 Smp_041970.1   | GO:0005515   | protein binding
 Smp_155010.1   | GO:0043565   | sequence-specific DNA binding
 Smp_155010.1   | GO:0003700   | transcription factor activity, sequence-specific DNA binding
 Smp_155010.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_155010.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_155010.1   | GO:0005634   | nucleus
 Smp_061250.1   | GO:0005509   | calcium ion binding
 Smp_061250.1   | GO:0005215   | transporter activity
 Smp_061250.1   | GO:0006839   | mitochondrial transport
 Smp_061250.1   | GO:0005739   | mitochondrion
 Smp_061250.1   | GO:0016021   | integral component of membrane
 Smp_061310.2   | GO:0016021   | integral component of membrane
 Smp_061310.2   | GO:0016020   | membrane
 Smp_155060.1   | GO:0005634   | nucleus
 Smp_166220.1   | GO:0005524   | ATP binding
 Smp_166220.1   | GO:0006512   | obsolete ubiquitin cycle (obsolete GO:0006512)
 Smp_166220.1   | GO:0005737   | cytoplasm
 Smp_198800.1   | GO:0005216   | ion channel activity
 Smp_198800.1   | GO:0016021   | integral component of membrane
 Smp_198800.1   | GO:0016020   | membrane
 Smp_133330.1   | GO:0006685   | sphingomyelin catabolic process
 Smp_133330.1   | GO:0005576   | extracellular region
 Smp_133470.1   | GO:0000166   | nucleotide binding
 Smp_133470.1   | GO:0003723   | RNA binding
 Smp_133470.1   | GO:0005737   | cytoplasm
 Smp_152650.1   | GO:0003677   | DNA binding
 Smp_152650.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_152650.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_152650.1   | GO:0005634   | nucleus
 Smp_152650.1   | GO:0005737   | cytoplasm
 Smp_056760.1   | GO:0045454   | cell redox homeostasis
 Smp_152610.1   | GO:0005737   | cytoplasm
 Smp_152590.1   | GO:0016021   | integral component of membrane
 Smp_152590.1   | GO:0016020   | membrane
 Smp_056700.1   | GO:0008270   | zinc ion binding
 Smp_056700.1   | GO:0006512   | obsolete ubiquitin cycle (obsolete GO:0006512)
 Smp_056700.1   | GO:0016021   | integral component of membrane
 Smp_056700.1   | GO:0016020   | membrane
 Smp_164250.2   | GO:0008270   | zinc ion binding
 Smp_164250.2   | GO:0005524   | ATP binding
 Smp_056500.1   | GO:0008233   | peptidase activity
 Smp_056500.1   | GO:0005829   | cytosol
 Smp_056500.1   | GO:0005634   | nucleus
 Smp_056500.1   | GO:0005737   | cytoplasm
 Smp_138610.1   | GO:0003677   | DNA binding
 Smp_138610.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_138610.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_138610.1   | GO:0005634   | nucleus
 Smp_138610.1   | GO:0005622   | intracellular
 Smp_095290.1   | GO:0008270   | zinc ion binding
 Smp_095290.1   | GO:0003700   | transcription factor activity, sequence-specific DNA binding
 Smp_095290.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_095290.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_095290.1   | GO:0005634   | nucleus
 Smp_095290.1   | GO:0005622   | intracellular
 Smp_174370.1   | GO:0003899   | DNA-directed RNA polymerase activity
 Smp_174370.1   | GO:0003723   | RNA binding
 Smp_174370.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_174370.1   | GO:0005634   | nucleus
 Smp_166490.1   | GO:0016021   | integral component of membrane
 Smp_166490.1   | GO:0016020   | membrane
 Smp_166550.1   | GO:0006412   | translation
 Smp_166560.1   | GO:0003677   | DNA binding
 Smp_166560.1   | GO:0008270   | zinc ion binding
 Smp_166560.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_166560.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_166560.1   | GO:0005634   | nucleus
 Smp_166560.1   | GO:0005622   | intracellular
 Smp_082240.1   | GO:0003677   | DNA binding
 Smp_082240.1   | GO:0005634   | nucleus
 Smp_082240.1   | GO:0000786   | nucleosome
 Smp_000630.1   | GO:0016787   | hydrolase activity
 Smp_000630.1   | GO:0008152   | metabolic process
 Smp_000460.1   | GO:0005737   | cytoplasm
 Smp_151120.1   | GO:0005244   | voltage-gated ion channel activity
 Smp_151120.1   | GO:0006813   | potassium ion transport
 Smp_151120.1   | GO:0016021   | integral component of membrane
 Smp_151120.1   | GO:0016020   | membrane
 Smp_032060.1   | GO:0003723   | RNA binding
 Smp_032060.1   | GO:0005634   | nucleus
 Smp_032060.1   | GO:0005737   | cytoplasm
 Smp_139530.1   | GO:0008270   | zinc ion binding
 Smp_139530.1   | GO:0005524   | ATP binding
 Smp_139530.1   | GO:0003700   | transcription factor activity, sequence-specific DNA binding
 Smp_139530.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_139530.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_139530.1   | GO:0005739   | mitochondrion
 Smp_139530.1   | GO:0005730   | nucleolus
 Smp_139530.1   | GO:0005634   | nucleus
 Smp_139530.1   | GO:0005737   | cytoplasm
 Smp_130530.1   | GO:0006810   | transport
 Smp_130530.1   | GO:0030154   | cell differentiation
 Smp_130530.1   | GO:0005737   | cytoplasm
 Smp_210050.1   | GO:0005509   | calcium ion binding
 Smp_210050.1   | GO:0016021   | integral component of membrane
 Smp_210050.1   | GO:0016020   | membrane
 Smp_210050.1   | GO:0005576   | extracellular region
 Smp_130520.1   | GO:0016021   | integral component of membrane
 Smp_130520.1   | GO:0016020   | membrane
 Smp_130460.1   | GO:0016020   | membrane
 Smp_130460.1   | GO:0005737   | cytoplasm
 Smp_179880.1   | GO:0016020   | membrane
 Smp_114870.1   | GO:0005886   | plasma membrane
 Smp_059250.1   | GO:0008026   | ATP-dependent helicase activity
 Smp_059250.1   | GO:0005524   | ATP binding
 Smp_059250.1   | GO:0004386   | helicase activity
 Smp_059250.1   | GO:0003723   | RNA binding
 Smp_059250.1   | GO:0005634   | nucleus
 Smp_059250.1   | GO:0005737   | cytoplasm
 Smp_150310.1   | GO:0016020   | membrane
 Smp_121130.1   | GO:0005509   | calcium ion binding
 Smp_121130.1   | GO:0005215   | transporter activity
 Smp_121130.1   | GO:0006810   | transport
 Smp_121130.1   | GO:0005739   | mitochondrion
 Smp_121130.1   | GO:0016021   | integral component of membrane
 Smp_198910.1   | GO:0046872   | metal ion binding
 Smp_125630.1   | GO:0003700   | transcription factor activity, sequence-specific DNA binding
 Smp_125630.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_125630.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_125630.1   | GO:0030154   | cell differentiation
 Smp_125630.1   | GO:0005634   | nucleus
 Smp_125630.1   | GO:0005737   | cytoplasm
 Smp_163300.1   | GO:0016787   | hydrolase activity
 Smp_163300.1   | GO:0005634   | nucleus
 Smp_163300.1   | GO:0005737   | cytoplasm
 Smp_163280.1   | GO:0005737   | cytoplasm
 Smp_158700.1   | GO:0007165   | signal transduction
 Smp_158670.1   | GO:0005158   | insulin receptor binding
 Smp_158670.1   | GO:0016020   | membrane
 Smp_158660.1   | GO:0030286   | dynein complex
 Smp_194610.1   | GO:0005524   | ATP binding
 Smp_194610.1   | GO:0004674   | protein serine/threonine kinase activity
 Smp_194610.1   | GO:0006468   | protein phosphorylation
 Smp_194610.1   | GO:0005634   | nucleus
 Smp_194610.1   | GO:0005737   | cytoplasm
 Smp_121660.1   | GO:0005509   | calcium ion binding
 Smp_121660.1   | GO:0016021   | integral component of membrane
 Smp_121660.1   | GO:0016020   | membrane
 Smp_119320.1   | GO:0005524   | ATP binding
 Smp_119320.1   | GO:0006468   | protein phosphorylation
 Smp_119320.1   | GO:0005634   | nucleus
 Smp_005640.1   | GO:0004652   | polynucleotide adenylyltransferase activity
 Smp_005640.1   | GO:0003723   | RNA binding
 Smp_005640.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_005640.1   | GO:0005634   | nucleus
 Smp_212300.1   | GO:0007165   | signal transduction
 Smp_212300.1   | GO:0016020   | membrane
 Smp_212300.1   | GO:0005622   | intracellular
 Smp_212300.1   | GO:0005737   | cytoplasm
 Smp_076580.1   | GO:0051287   | NAD binding
 Smp_076560.3   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_076560.3   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_076560.3   | GO:0005634   | nucleus
 Smp_160560.1   | GO:0005506   | iron ion binding
 Smp_124990.1   | GO:0005525   | GTP binding
 Smp_124990.1   | GO:0007264   | small GTPase mediated signal transduction
 Smp_124990.1   | GO:0005622   | intracellular
 Smp_124990.1   | GO:0005886   | plasma membrane
 Smp_125020.1   | GO:0003777   | microtubule motor activity
 Smp_125020.1   | GO:0007017   | microtubule-based process
 Smp_125020.1   | GO:0030286   | dynein complex
 Smp_125020.1   | GO:0005737   | cytoplasm
 Smp_125040.1   | GO:0046872   | metal ion binding
 Smp_125040.1   | GO:0016021   | integral component of membrane
 Smp_125040.1   | GO:0016020   | membrane
 Smp_125040.1   | GO:0005737   | cytoplasm
 Smp_005470.1   | GO:0003777   | microtubule motor activity
 Smp_005470.1   | GO:0007017   | microtubule-based process
 Smp_005470.1   | GO:0030286   | dynein complex
 Smp_005470.1   | GO:0005737   | cytoplasm
 Smp_178850.1   | GO:0004652   | polynucleotide adenylyltransferase activity
 Smp_178850.1   | GO:0003723   | RNA binding
 Smp_178850.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_178850.1   | GO:0005634   | nucleus
 Smp_175130.1   | GO:0008026   | ATP-dependent helicase activity
 Smp_175130.1   | GO:0005524   | ATP binding
 Smp_175130.1   | GO:0004386   | helicase activity
 Smp_175130.1   | GO:0003723   | RNA binding
 Smp_175130.1   | GO:0005634   | nucleus
 Smp_175130.1   | GO:0005737   | cytoplasm
 Smp_155550.1   | GO:0005576   | extracellular region
 Smp_155540.1   | GO:0016021   | integral component of membrane
 Smp_155530.1   | GO:0005576   | extracellular region
 Smp_159640.1   | GO:0005509   | calcium ion binding
 Smp_159640.1   | GO:0005215   | transporter activity
 Smp_159640.1   | GO:0006810   | transport
 Smp_159640.1   | GO:0016021   | integral component of membrane
 Smp_159640.1   | GO:0016020   | membrane
 Smp_159640.1   | GO:0008021   | synaptic vesicle
 Smp_159640.1   | GO:0045202   | synapse
 Smp_107810.1   | GO:0016787   | hydrolase activity
 Smp_107810.1   | GO:0008152   | metabolic process
 Smp_138060.1   | GO:0046872   | metal ion binding
 Smp_138060.1   | GO:0016020   | membrane
 Smp_174190.1   | GO:0016021   | integral component of membrane
 Smp_174190.1   | GO:0016020   | membrane
 Smp_054120.1   | GO:0005634   | nucleus
 Smp_054120.1   | GO:0005622   | intracellular
 Smp_054120.1   | GO:0030529   | ribonucleoprotein complex
 Smp_198960.1   | GO:0016021   | integral component of membrane
 Smp_198960.1   | GO:0016020   | membrane
 Smp_158950.1   | GO:0005524   | ATP binding
 Smp_158950.1   | GO:0004674   | protein serine/threonine kinase activity
 Smp_158950.1   | GO:0006468   | protein phosphorylation
 Smp_158950.1   | GO:0007165   | signal transduction
 Smp_158950.1   | GO:0005737   | cytoplasm
 Smp_067940.1   | GO:0003677   | DNA binding
 Smp_067940.1   | GO:0008270   | zinc ion binding
 Smp_067940.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_067940.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_067940.1   | GO:0005634   | nucleus
 Smp_067940.1   | GO:0005622   | intracellular
 Smp_078540.1   | GO:0005737   | cytoplasm
 Smp_094150.1   | GO:0003723   | RNA binding
 Smp_094150.1   | GO:0005634   | nucleus
 Smp_094150.1   | GO:0030529   | ribonucleoprotein complex
 Smp_173720.1   | GO:0016021   | integral component of membrane
 Smp_173720.1   | GO:0016020   | membrane
 Smp_173720.1   | GO:0005509   | calcium ion binding
 Smp_173720.1   | GO:0005515   | protein binding
 Smp_132440.1   | GO:0005737   | cytoplasm
 Smp_073830.1   | GO:0008270   | zinc ion binding
 Smp_073830.1   | GO:0003723   | RNA binding
 Smp_073830.1   | GO:0005634   | nucleus
 Smp_162080.1   | GO:0003677   | DNA binding
 Smp_162080.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_162080.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_162080.1   | GO:0016020   | membrane
 Smp_162080.1   | GO:0005634   | nucleus
 Smp_162080.1   | GO:0005737   | cytoplasm
 Smp_073950.1   | GO:0008270   | zinc ion binding
 Smp_137240.1   | GO:0046872   | metal ion binding
 Smp_137240.1   | GO:0005634   | nucleus
 Smp_137200.1   | GO:0005509   | calcium ion binding
 Smp_137200.1   | GO:0016021   | integral component of membrane
 Smp_137200.1   | GO:0005886   | plasma membrane
 Smp_071950.1   | GO:0005634   | nucleus
 Smp_104470.1   | GO:0003676   | nucleic acid binding
 Smp_104470.1   | GO:0005524   | ATP binding
 Smp_104470.1   | GO:0004824   | lysine-tRNA ligase activity
 Smp_104470.1   | GO:0006412   | translation
 Smp_104470.1   | GO:0005737   | cytoplasm
 Smp_085490.1   | GO:0005737   | cytoplasm
 Smp_168590.1   | GO:0007338   | single fertilization
 Smp_168590.1   | GO:0016021   | integral component of membrane
 Smp_168590.1   | GO:0005576   | extracellular region
 Smp_168590.1   | GO:0005886   | plasma membrane
 Smp_085540.2   | GO:0005524   | ATP binding
 Smp_085540.2   | GO:0005737   | cytoplasm
 Smp_166030.1   | GO:0003677   | DNA binding
 Smp_166030.1   | GO:0005524   | ATP binding
 Smp_166030.1   | GO:0005737   | cytoplasm
 Smp_143430.1   | GO:0008270   | zinc ion binding
 Smp_143430.1   | GO:0004559   | alpha-mannosidase activity
 Smp_143430.1   | GO:0006013   | mannose metabolic process
 Smp_177270.1   | GO:0030301   | cholesterol transport
 Smp_177270.1   | GO:0016021   | integral component of membrane
 Smp_177270.1   | GO:0016020   | membrane
 Smp_013200.2   | GO:0003735   | structural constituent of ribosome
 Smp_013200.2   | GO:0006412   | translation
 Smp_013200.2   | GO:0005622   | intracellular
 Smp_013200.2   | GO:0005840   | ribosome
 Smp_096020.2   | GO:0005737   | cytoplasm
 Smp_174820.1   | GO:0005524   | ATP binding
 Smp_174820.1   | GO:0004674   | protein serine/threonine kinase activity
 Smp_174820.1   | GO:0006468   | protein phosphorylation
 Smp_174820.1   | GO:0005737   | cytoplasm
 Smp_095980.1   | GO:0008270   | zinc ion binding
 Smp_095980.1   | GO:0005615   | extracellular space
 Smp_175790.1   | GO:0005524   | ATP binding
 Smp_175790.1   | GO:0005391   | sodium:potassium-exchanging ATPase activity
 Smp_175790.1   | GO:0031402   | sodium ion binding
 Smp_175790.1   | GO:0006813   | potassium ion transport
 Smp_175790.1   | GO:0006814   | sodium ion transport
 Smp_175790.1   | GO:0030641   | regulation of cellular pH
 Smp_175790.1   | GO:0008152   | metabolic process
 Smp_175790.1   | GO:0016021   | integral component of membrane
 Smp_175790.1   | GO:0016020   | membrane
 Smp_175820.1   | GO:0005524   | ATP binding
 Smp_175820.1   | GO:0015662   | ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism
 Smp_175820.1   | GO:0006810   | transport
 Smp_175820.1   | GO:0008152   | metabolic process
 Smp_175820.1   | GO:0016021   | integral component of membrane
 Smp_175820.1   | GO:0016020   | membrane
 Smp_018240.3   | GO:0005524   | ATP binding
 Smp_018240.3   | GO:0016020   | membrane
 Smp_018240.3   | GO:0005737   | cytoplasm
 Smp_098650.1   | GO:0005524   | ATP binding
 Smp_098650.1   | GO:0005737   | cytoplasm
